dataset,algorithm,corr_threshold,const_threshold,seed,line_number
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.2,89,277
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.2,356,278
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.2,27,279
dados_atuais_listagem_nominal-dv.csv,rf,0.9,0.2,489,280
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.05,145,281
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.05,278,282
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.05,392,283
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.05,49,284
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.05,203,285
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.05,411,286
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.05,89,287
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.05,356,288
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.05,27,289
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.05,489,290
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.1,145,291
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.1,278,292
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.1,392,293
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.1,49,294
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.1,203,295
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.1,411,296
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.1,89,297
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.1,356,298
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.1,27,299
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.1,489,300
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.15,145,301
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.15,278,302
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.15,392,303
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.15,49,304
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.15,203,305
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.15,411,306
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.15,89,307
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.15,356,308
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.15,27,309
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.15,489,310
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.2,145,311
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.2,278,312
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.2,392,313
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.2,49,314
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.2,203,315
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.2,411,316
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.2,89,317
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.2,356,318
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.2,27,319
dados_atuais_listagem_nominal-dv.csv,rf,0.95,0.2,489,320
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.05,145,321
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.05,278,322
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.05,392,323
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.05,49,324
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.05,203,325
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.05,411,326
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.05,89,327
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.05,356,328
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.05,27,329
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.05,489,330
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.1,145,331
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.1,278,332
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.1,392,333
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.1,49,334
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.1,203,335
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.1,411,336
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.1,89,337
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.1,356,338
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.1,27,339
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.1,489,340
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.15,145,341
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.15,278,342
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.15,392,343
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.15,49,344
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.15,203,345
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.15,411,346
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.15,89,347
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.15,356,348
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.15,27,349
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.15,489,350
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.2,145,351
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.2,278,352
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.2,392,353
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.2,49,354
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.2,203,355
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.2,411,356
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.2,89,357
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.2,356,358
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.2,27,359
dados_atuais_listagem_nominal-dv.csv,neigh,0.8,0.2,489,360
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.05,145,361
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.05,278,362
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.05,392,363
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.05,49,364
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.05,203,365
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.05,411,366
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.05,89,367
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.05,356,368
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.05,27,369
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.05,489,370
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.1,145,371
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.1,278,372
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.1,392,373
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.1,49,374
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.1,203,375
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.1,411,376
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.1,89,377
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.1,356,378
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.1,27,379
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.1,489,380
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.15,145,381
dados_atuais_listagem_nominal-dv.csv,neigh,0.85,0.15,278,382
